card_name,current_rarity,card_type,monster_type,archetype,rarity_score,rarity_reason,manual_override,release_date,pool_status
Brotherhood of the Fire Fist - Tiger King,Secret Rare,XYZ Monster,Beast-Warrior / Xyz / Effect,Fire Fist,5.95,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); references ""Fire Formation"" in a way the engine could not confidently classify (flagged for review).",FALSE,2013-01-25,eligible_base_pre_2015
Burgeoning Whirlflame,Secret Rare,Trap Card,,Laval,5.74,"Negates activations/effects (broadly relevant); references ""Laval"" in a way the engine could not confidently classify (flagged for review); must be Set a turn before it can be activated.",FALSE,2011-08-06,eligible_base_pre_2015
Cards for Black Feathers,Secret Rare,Spell Card,,Blackwing,5.45,"References ""Blackwing"" in a way the engine could not confidently classify (flagged for review).",FALSE,2010-05-07,eligible_base_pre_2015
Cards from the Sky,Secret Rare,Spell Card,,,5.58,"Straightforward, unconditional effect.",FALSE,2011-06-10,eligible_base_pre_2015
Cash Back,Secret Rare,Trap Card,,,5.26,Negates activations/effects (broadly relevant); must be Set a turn before it can be activated; repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2012-11-09,eligible_base_pre_2015
Chivalry,Secret Rare,Trap Card,,,5.43,Negates activations/effects (broadly relevant); must be Set a turn before it can be activated; repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2010-08-07,eligible_base_pre_2015
Chow Chow Chan,Secret Rare,Effect Monster,Beast / Effect,,5.67,Negates activations/effects (broadly relevant); repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2013-11-08,eligible_base_pre_2015
Common Charity,Secret Rare,Trap Card,,,5.3,Must be Set a turn before it can be activated.,FALSE,2007-08-15,eligible_base_pre_2015
Cursed Seal of the Forbidden Spell,Secret Rare,Trap Card,,,5.66,Negates activations/effects (broadly relevant); restricts what the opponent can do; must be Set a turn before it can be activated.,FALSE,2004-03-01,eligible_base_pre_2015
CXyz Coach Lord Ultimatrainer,Secret Rare,XYZ Monster,Warrior / Xyz / Effect,CXyz,5.57,Extra Deck materials are generic - broadly splashable.,FALSE,2013-07-12,eligible_base_pre_2015
CXyz Simon the Great Moral Leader,Secret Rare,XYZ Monster,Spellcaster / Xyz / Effect,CXyz,5.95,"Negates activations/effects (broadly relevant); references ""Norito the Moral Leader"" in a way the engine could not confidently classify (flagged for review); Extra Deck materials are generic - broadly splashable.",FALSE,2013-07-12,eligible_base_pre_2015
Cyber Network,Secret Rare,Trap Card,,Cyber Dragon,5.83,"Mass effect (hits multiple/all cards, not just one target); references ""Cyber Dragon"" in a way the engine could not confidently classify (flagged for review); must be Set a turn before it can be activated.",FALSE,2014-02-06,eligible_base_pre_2015
D.D. Esper Star Sparrow,Secret Rare,Effect Monster,Warrior / Effect,D.D.,5.77,"Straightforward, unconditional effect.",FALSE,2013-02-01,eligible_base_pre_2015
Dark Armed Dragon,Secret Rare,Effect Monster,Dragon / Effect,Armed Dragon,5.69,"Straightforward, unconditional effect.",FALSE,2008-01-26,eligible_base_pre_2015
Dark Illusion,Secret Rare,Trap Card,,,5.43,Negates activations/effects (broadly relevant); must be Set a turn before it can be activated; repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2008-01-26,eligible_base_pre_2015
Dark Lucius LV8,Secret Rare,Effect Monster,Fiend / Effect,,5.47,"Negates activations/effects (broadly relevant); references ""Dark Lucius LV6"" in a way the engine could not confidently classify (flagged for review); repeatable activation/effect negation with no once-per-turn limit found in text.",FALSE,2006-11-15,eligible_base_pre_2015
Dark Magician Knight,Secret Rare,Effect Monster,Warrior / Effect,Dark Magician,5.69,"Restricts what the opponent can do; references ""Knight's Title"" in a way the engine could not confidently classify (flagged for review); floodgate/lock effect.",FALSE,2004-06-29,eligible_base_pre_2015
Dark Magician of Chaos,Secret Rare,Effect Monster,Spellcaster / Effect,Dark Magician,5.68,"Straightforward, unconditional effect.",FALSE,2004-03-01,eligible_base_pre_2015
Dark Master - Zorc,Secret Rare,Ritual Effect Monster,Fiend / Ritual / Effect,,5.6,"Mass effect (hits multiple/all cards, not just one target); references ""Contract with the Dark Master"" in a way the engine could not confidently classify (flagged for review).",FALSE,2003-12-01,eligible_base_pre_2015
Dark Nephthys,Secret Rare,Effect Monster,Winged Beast / Effect,Nephthys,5.52,"Straightforward, unconditional effect.",FALSE,2008-01-26,eligible_base_pre_2015
Dark Simorgh,Secret Rare,Effect Monster,Winged Beast / Effect,Simorgh,5.56,"Straightforward, unconditional effect.",FALSE,2009-11-17,eligible_base_pre_2015
Darklord Zerato,Secret Rare,Effect Monster,Fairy / Effect,Darklord,5.73,"Mass effect (hits multiple/all cards, not just one target).",FALSE,2008-01-26,eligible_base_pre_2015
Darknight Parshath,Secret Rare,Effect Monster,Fairy / Effect,Parshath,5.64,"Straightforward, unconditional effect.",FALSE,2008-01-26,eligible_base_pre_2015
Darkstorm Dragon,Secret Rare,Gemini Monster,Dragon / Gemini / Effect,,5.73,"Mass effect (hits multiple/all cards, not just one target).",FALSE,2012-01-14,eligible_base_pre_2015
Debunk,Secret Rare,Trap Card,,,5.56,Negates activations/effects (broadly relevant); must be Set a turn before it can be activated; repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2011-04-30,eligible_base_pre_2015
Divine Dragon Knight Felgrand,Secret Rare,XYZ Monster,Warrior / Xyz / Effect,,5.43,Negates activations/effects (broadly relevant); Extra Deck materials are generic - broadly splashable.,FALSE,2013-11-08,eligible_base_pre_2015
Doomcaliber Knight,Secret Rare,Effect Monster,Fiend / Effect,,6.51,Negates activations/effects (broadly relevant); restricts what the opponent can do; usable at instant speed.,TRUE,2008-03-08,eligible_base_pre_2015
Dustflame Blast,Secret Rare,Trap Card,,Laval,5.43,"Mass effect (hits multiple/all cards, not just one target); references ""Laval"" in a way the engine could not confidently classify (flagged for review); must be Set a turn before it can be activated.",FALSE,2012-05-25,eligible_base_pre_2015
Earthbound Immortal Ccarayhua,Secret Rare,Effect Monster,Reptile / Effect,Earthbound,5.64,"Mass effect (hits multiple/all cards, not just one target); references ""Earthbound Immortal"" in a way the engine could not confidently classify (flagged for review).",FALSE,2009-11-17,eligible_base_pre_2015
Effect Veiler,Secret Rare,Tuner Monster,Spellcaster / Tuner / Effect,,5.27,Negates activations/effects (broadly relevant); usable at instant speed; 0 ATK makes it a liability on offense.,TRUE,2010-08-07,eligible_base_pre_2015
Evilswarm Ouroboros,Secret Rare,XYZ Monster,Dragon / Xyz / Effect,Lswarm,5.51,Extra Deck materials are generic - broadly splashable.,FALSE,2013-02-01,eligible_base_pre_2015
Exodius the Ultimate Forbidden Lord,Secret Rare,Effect Monster,Spellcaster / Effect,Exodia,5.65,"Restricts what the opponent can do; references ""Forbidden One"" in a way the engine could not confidently classify (flagged for review); floodgate/lock effect.",FALSE,2010-11-02,eligible_base_pre_2015
Fairy Knight Ingunar,Secret Rare,XYZ Monster,Plant / Xyz / Effect,,5.68,"Mass effect (hits multiple/all cards, not just one target); restricts what the opponent can do; Extra Deck materials are generic - broadly splashable.",FALSE,2014-01-24,eligible_base_pre_2015
Fire King High Avatar Garunix,Secret Rare,Effect Monster,Winged Beast / Effect,Fire King,5.64,"Mass effect (hits multiple/all cards, not just one target); references ""Fire King"" in a way the engine could not confidently classify (flagged for review).",FALSE,2013-02-08,eligible_base_pre_2015
First of the Dragons,Secret Rare,Fusion Monster,Dragon / Fusion / Effect,,5.44,Restricts what the opponent can do; Extra Deck materials are generic - broadly splashable; floodgate/lock effect.,FALSE,2014-11-06,eligible_base_pre_2015
Fishborg Archer,Secret Rare,Tuner Monster,Fish / Tuner / Effect,Fishborg,5.55,"Mass effect (hits multiple/all cards, not just one target); still usable from the Graveyard even after being discarded/milled.",FALSE,2013-08-08,eligible_base_pre_2015
Flamvell Counter,Secret Rare,Trap Card,,Flamvell,5.56,Negates activations/effects (broadly relevant); must be Set a turn before it can be activated; repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2009-09-01,eligible_base_pre_2015
Frost and Flame Dragon,Secret Rare,Effect Monster,Dragon / Effect,,5.31,Restricts what the opponent can do; floodgate/lock effect.,FALSE,2007-08-15,eligible_base_pre_2015
Future Samurai,Secret Rare,Gemini Monster,Warrior / Gemini / Effect,,5.48,"Straightforward, unconditional effect.",FALSE,2008-01-26,eligible_base_pre_2015
Gagaga Caesar,Secret Rare,Effect Monster,Warrior / Effect,Gagaga,5.39,"Mass effect (hits multiple/all cards, not just one target); references ""Gagaga"" in a way the engine could not confidently classify (flagged for review).",FALSE,2012-11-09,eligible_base_pre_2015
Gagagadraw,Secret Rare,Spell Card,,Gagaga,5.45,"References ""Gagaga"" in a way the engine could not confidently classify (flagged for review).",FALSE,2013-01-25,eligible_base_pre_2015
"Garlandolf, King of Destruction",Secret Rare,Ritual Effect Monster,Fiend / Ritual / Effect,,5.64,"Mass effect (hits multiple/all cards, not just one target); references ""Ritual of Destruction"" in a way the engine could not confidently classify (flagged for review).",FALSE,2010-02-12,eligible_base_pre_2015
Geargiagear Gigant XG,Secret Rare,XYZ Monster,Machine / Xyz / Effect,Geargia,6.35,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); restricts what the opponent can do.",FALSE,2014-10-16,eligible_base_pre_2015
Genex Ally Reliever,Secret Rare,Effect Monster,Machine / Effect,Genex,5.48,Negates activations/effects (broadly relevant); repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2011-01-25,eligible_base_pre_2015
Ghost Reaper & Winter Cherries,Secret Rare,Tuner Monster,Zombie / Tuner / Effect,,5.52,"Mass effect (hits multiple/all cards, not just one target); usable at instant speed; 0 ATK makes it a liability on offense.",FALSE,,eligible_base_pre_2015
Gishki Zielgigas,Secret Rare,Ritual Effect Monster,Aqua / Ritual / Effect,Gishki,5.36,"References ""Gishki"" in a way the engine could not confidently classify (flagged for review).",FALSE,2013-02-01,eligible_base_pre_2015
Gorgon's Eye,Secret Rare,Trap Card,,,5.47,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); must be Set a turn before it can be activated.",FALSE,2004-10-01,eligible_base_pre_2015
Gorz the Emissary of Darkness,Secret Rare,Effect Monster,Fiend / Effect,,4.56,"References ""Emissary of Darkness Token"" in a way the engine could not confidently classify (flagged for review).",TRUE,2008-11-21,eligible_base_pre_2015
"Grapha, Dragon Lord of Dark World",Secret Rare,Effect Monster,Fiend / Effect,Dark World,5.43,"References ""Dark World"" in a way the engine could not confidently classify (flagged for review).",FALSE,2011-10-13,eligible_base_pre_2015
Gryphon Wing,Secret Rare,Trap Card,,Harpie,6.13,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); references ""Harpie's Feather Duster"" in a way the engine could not confidently classify (flagged for review).",FALSE,2003-03-30,eligible_base_pre_2015
Guard Mines,Secret Rare,Trap Card,,,5.43,Negates activations/effects (broadly relevant); must be Set a turn before it can be activated; repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2010-05-07,eligible_base_pre_2015
"Hamon, Lord of Striking Thunder",Secret Rare,Effect Monster,Thunder / Effect,Sacred Beast,5.45,Restricts what the opponent can do; floodgate/lock effect.,FALSE,2006-02-18,eligible_base_pre_2015
Herald of Ultimateness,Secret Rare,Ritual Effect Monster,Fairy / Ritual / Effect,Herald,5.52,"Restricts what the opponent can do; references ""Oracle of the Herald"" in a way the engine could not confidently classify (flagged for review); floodgate/lock effect.",FALSE,2014-11-06,eligible_base_pre_2015
Hieratic Dragon of Sutekh,Secret Rare,Effect Monster,Dragon / Effect,Hieratic,5.82,"Straightforward, unconditional effect.",FALSE,2012-04-28,eligible_base_pre_2015
High Priestess of Prophecy,Secret Rare,Effect Monster,Spellcaster / Effect,Priestess,5.73,"References ""Spellbook"" in a way the engine could not confidently classify (flagged for review).",FALSE,2012-08-18,eligible_base_pre_2015
Ice Beast Zerofyne,Secret Rare,XYZ Monster,Winged Beast / Xyz / Effect,,5.38,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); Materials are Attribute/Type/Tuner-constrained but not named: ""2 Level 4 Winged Beast-Type monsters""..",FALSE,2013-05-17,eligible_base_pre_2015
Ice Queen,Secret Rare,Effect Monster,Spellcaster / Effect,,5.61,Restricts what the opponent can do; floodgate/lock effect.,FALSE,2009-11-17,eligible_base_pre_2015
Infernity Barrier,Secret Rare,Trap Card,,Infernity,5.3,"Negates activations/effects (broadly relevant); references ""Infernity"" in a way the engine could not confidently classify (flagged for review); must be Set a turn before it can be activated.",FALSE,2010-05-07,eligible_base_pre_2015
Jar Robber,Secret Rare,Spell Card,,,5.87,"Negates activations/effects (broadly relevant); references ""Pot of Greed"" in a way the engine could not confidently classify (flagged for review); repeatable activation/effect negation with no once-per-turn limit found in text.",FALSE,2003-10-10,eligible_base_pre_2015
Jowgen the Spiritualist,Secret Rare,Effect Monster,Spellcaster / Effect,,5.91,"Mass effect (hits multiple/all cards, not just one target); restricts what the opponent can do; exceptionally strong on its own terms, not just as an archetype payoff.",FALSE,2003-03-01,eligible_base_pre_2015
Judgment of Anubis,Secret Rare,Trap Card,,,5.3,Negates activations/effects (broadly relevant); must be Set a turn before it can be activated; repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2003-12-01,eligible_base_pre_2015
Judgment of the Pharaoh,Secret Rare,Trap Card,,,5.8,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); restricts what the opponent can do.",FALSE,2006-05-01,eligible_base_pre_2015
Koa'ki Meiru Hydro Barrier,Secret Rare,Effect Monster,Aqua / Effect,Koa'ki Meiru,5.45,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); references ""Iron Core of Koa'ki Meiru"" in a way the engine could not confidently classify (flagged for review).",FALSE,2009-09-01,eligible_base_pre_2015
Koa'ki Meiru Sandman,Secret Rare,Effect Monster,Rock / Effect,Koa'ki Meiru,5.47,"Negates activations/effects (broadly relevant); references ""Iron Core of Koa'ki Meiru"" in a way the engine could not confidently classify (flagged for review); usable at instant speed.",FALSE,2010-05-07,eligible_base_pre_2015
Koa'ki Meiru Wall,Secret Rare,Effect Monster,Rock / Effect,Koa'ki Meiru,5.47,"Negates activations/effects (broadly relevant); references ""Iron Core of Koa'ki Meiru"" in a way the engine could not confidently classify (flagged for review); usable at instant speed.",FALSE,2010-11-06,eligible_base_pre_2015
Levia-Dragon - Daedalus,Secret Rare,Effect Monster,Sea Serpent / Effect,Umi,5.47,"Mass effect (hits multiple/all cards, not just one target); references ""Umi"" in a way the engine could not confidently classify (flagged for review).",FALSE,2004-03-01,eligible_base_pre_2015
Light Barrier,Secret Rare,Spell Card,,Arcana Force,5.41,"Negates activations/effects (broadly relevant); also gains Life Points; references ""Arcana Force"" in a way the engine could not confidently classify (flagged for review).",FALSE,2008-05-03,eligible_base_pre_2015
Lightray Sorcerer,Secret Rare,Effect Monster,Spellcaster / Effect,,5.44,Restricts what the opponent can do; floodgate/lock effect.,FALSE,2012-04-28,eligible_base_pre_2015
Madolche Chickolates,Secret Rare,Effect Monster,Beast / Effect,Madolche,5.5,"Negates activations/effects (broadly relevant); references ""Madolche"" in a way the engine could not confidently classify (flagged for review).",FALSE,2013-08-08,eligible_base_pre_2015
Madolche Tea Break,Secret Rare,Trap Card,,Madolche,5.92,"Negates activations/effects (broadly relevant); references ""Madolche Puddingcess"" in a way the engine could not confidently classify (flagged for review); must be Set a turn before it can be activated.",FALSE,2012-08-18,eligible_base_pre_2015
Master Hyperion,Secret Rare,Effect Monster,Fairy / Effect,The Agent,5.55,"References ""The Agent"" in a way the engine could not confidently classify (flagged for review); references ""The Sanctuary in the Sky"" in a way the engine could not confidently classify (flagged for review).",FALSE,2011-06-10,eligible_base_pre_2015
Meklord Astro Mekanikle,Secret Rare,Effect Monster,Machine / Effect,Meklord,5.28,"Restricts what the opponent can do; references ""Meklord"" in a way the engine could not confidently classify (flagged for review); floodgate/lock effect.",FALSE,2011-05-01,eligible_base_pre_2015
Mermail Abyssgaios,Secret Rare,XYZ Monster,Aqua / Xyz / Effect,Mermail,5.72,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); Materials are Attribute/Type/Tuner-constrained but not named: ""2 Level 7 WATER monsters""..",FALSE,2012-11-09,eligible_base_pre_2015
"Metaion, the Timelord",Secret Rare,Effect Monster,Fairy / Effect,Timelord,5.51,Restricts what the opponent can do; 0 ATK makes it a liability on offense; floodgate/lock effect.,FALSE,2011-11-10,eligible_base_pre_2015
Mist Valley Apex Avian,Secret Rare,Effect Monster,Winged Beast / Effect,Mist Valley,5.53,"Negates activations/effects (broadly relevant); must target ""Mist Valley"" to do anything; usable at instant speed.",FALSE,2010-05-25,eligible_base_pre_2015
Moisture Creature,Secret Rare,Effect Monster,Fairy / Effect,,5.61,"Mass effect (hits multiple/all cards, not just one target).",FALSE,2003-07-18,eligible_base_pre_2015
Moon Dance Ritual,Secret Rare,Trap Card,,,5.92,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); must be Set a turn before it can be activated.",FALSE,2013-08-08,eligible_base_pre_2015
Morphtronic Accelerator,Secret Rare,Spell Card,,Morphtronic,5.66,"References ""Morphtronic"" in a way the engine could not confidently classify (flagged for review).",FALSE,2008-11-01,eligible_base_pre_2015
Morphtronic Forcefield,Secret Rare,Trap Card,,Morphtronic,5.95,"Negates activations/effects (broadly relevant); references ""Morphtronic"" in a way the engine could not confidently classify (flagged for review); must be Set a turn before it can be activated.",FALSE,2009-02-28,eligible_base_pre_2015
Mosaic Manticore,Secret Rare,Effect Monster,Beast / Effect,,5.77,Negates activations/effects (broadly relevant); repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2008-11-01,eligible_base_pre_2015
My Body as a Shield,Secret Rare,Spell Card,,,5.71,Negates activations/effects (broadly relevant); repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2003-10-10,eligible_base_pre_2015
Naturia Forest,Secret Rare,Spell Card,,Naturia,5.26,"Negates activations/effects (broadly relevant); searches a narrow/named target, not broadly useful outside that plan; repeatable activation/effect negation with no once-per-turn limit found in text.",FALSE,2010-08-07,eligible_base_pre_2015
Neo Galaxy-Eyes Photon Dragon,Secret Rare,XYZ Monster,Dragon / Xyz / Effect,Galaxy-Eyes,6.43,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); references ""Galaxy-Eyes Photon Dragon"" in a way the engine could not confidently classify (flagged for review).",FALSE,2012-04-28,eligible_base_pre_2015
Night Beam,Secret Rare,Spell Card,,,5.42,Restricts what the opponent can do; floodgate/lock effect.,FALSE,2012-04-28,eligible_base_pre_2015
Night Express Knight,Secret Rare,Effect Monster,Machine / Effect,Train,5.29,Restricts what the opponent can do; floodgate/lock effect.,FALSE,2014-06-26,eligible_base_pre_2015
Nobleman of Crossout,Secret Rare,Spell Card,,,5.84,"Mass effect (hits multiple/all cards, not just one target).",FALSE,2002-10-20,eligible_base_pre_2015
Nopenguin,Secret Rare,Effect Monster,Aqua / Effect,Penguin,5.39,"References ""Penguin"" in a way the engine could not confidently classify (flagged for review).",FALSE,2014-05-16,eligible_base_pre_2015
Norito the Moral Leader,Secret Rare,XYZ Monster,Spellcaster / Xyz / Effect,,5.63,Negates activations/effects (broadly relevant); usable at instant speed; Extra Deck materials are generic - broadly splashable.,FALSE,2013-07-12,eligible_base_pre_2015
Number 102: Star Seraph Sentry,Secret Rare,XYZ Monster,Fairy / Xyz / Effect,Star Seraph,5.72,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); Materials are Attribute/Type/Tuner-constrained but not named: ""3 Level 4 LIGHT monsters""..",FALSE,2013-08-08,eligible_base_pre_2015
Number 104: Masquerade,Secret Rare,XYZ Monster,Spellcaster / Xyz / Effect,,5.59,Negates activations/effects (broadly relevant); Extra Deck materials are generic - broadly splashable.,FALSE,2013-08-08,eligible_base_pre_2015
Number 105: Battlin' Boxer Star Cestus,Secret Rare,XYZ Monster,Warrior / Xyz / Effect,Battlin' Boxer,5.5,"Negates activations/effects (broadly relevant); references ""Battlin' Boxer"" in a way the engine could not confidently classify (flagged for review); Extra Deck materials are generic - broadly splashable.",FALSE,2013-05-17,eligible_base_pre_2015
Number 107: Galaxy-Eyes Tachyon Dragon,Secret Rare,XYZ Monster,Dragon / Xyz / Effect,Galaxy-Eyes,6.6,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); Extra Deck materials are generic - broadly splashable.",FALSE,2013-05-17,eligible_base_pre_2015
Number 22: Zombiestein,Secret Rare,XYZ Monster,Zombie / Xyz / Effect,,5.67,"Negates activations/effects (broadly relevant); restricts what the opponent can do; Materials are Attribute/Type/Tuner-constrained but not named: ""2 Level 8 DARK monsters""..",FALSE,2013-06-04,eligible_base_pre_2015
Number 25: Force Focus,Secret Rare,XYZ Monster,Machine / Xyz / Effect,,5.59,Negates activations/effects (broadly relevant); Extra Deck materials are generic - broadly splashable.,FALSE,2012-04-28,eligible_base_pre_2015
Number 69: Heraldry Crest,Secret Rare,XYZ Monster,Psychic / Xyz / Effect,Heraldry,6.42,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); Extra Deck materials are generic - broadly splashable.",FALSE,2013-05-17,eligible_base_pre_2015
Number 74: Master of Blades,Secret Rare,XYZ Monster,Psychic / Xyz / Effect,,6.25,"Negates activations/effects (broadly relevant); Extra Deck materials are generic - broadly splashable; exceptionally strong on its own terms, not just as an archetype payoff.",FALSE,2013-07-12,eligible_base_pre_2015
Number 85: Crazy Box,Secret Rare,XYZ Monster,Fiend / Xyz / Effect,,7.11,"Strong, broadly usable card: negates activations/effects (broadly relevant); Extra Deck materials are generic - broadly splashable; exceptionally strong on its own terms, not just as an archetype payoff.",FALSE,2013-07-12,eligible_base_pre_2015
Number 92: Heart-eartH Dragon,Secret Rare,XYZ Monster,Dragon / Xyz / Effect,,5.69,"Mass effect (hits multiple/all cards, not just one target); Extra Deck materials are generic - broadly splashable.",FALSE,2013-01-25,eligible_base_pre_2015
Number C104: Umbral Horror Masquerade,Secret Rare,XYZ Monster,Spellcaster / Xyz / Effect,Umbral Horror,6.4,"Negates activations/effects (broadly relevant); references ""Number 104: Masquerade"" in a way the engine could not confidently classify (flagged for review); Extra Deck materials are generic - broadly splashable.",FALSE,2013-08-08,eligible_base_pre_2015
Number C106: Giant Red Hand,Secret Rare,XYZ Monster,Rock / Xyz / Effect,,6.29,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); references ""Number"" in a way the engine could not confidently classify (flagged for review).",FALSE,2014-04-25,eligible_base_pre_2015
Number C107: Neo Galaxy-Eyes Tachyon Dragon,Secret Rare,XYZ Monster,Dragon / Xyz / Effect,Galaxy-Eyes,6.22,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); restricts what the opponent can do.",FALSE,2014-05-16,eligible_base_pre_2015
